sample_idx,chamfer_distance
0,0.01529899
1,0.01651595
2,0.01302051
3,0.01376465
4,0.01304125
5,0.02229629
6,0.01358650
7,0.01322214
8,0.01336155
9,0.01672768
10,0.01304359
11,0.01451179
12,0.01315190
13,0.01364544
14,0.01584721
15,0.01293815
16,0.01468965
17,0.02652644
18,0.01944106
19,0.01675203
20,0.01304988
21,0.01276933
22,0.01390446
23,0.01262970
24,0.01367225
25,0.01378782
26,0.01239111
27,0.01409783
28,0.01286229
29,0.01276835
30,0.01367684
31,0.01424804
32,0.01390489
33,0.01257282
34,0.01343981
35,0.02421216
36,0.01387596
37,0.01448387
38,0.01365054
39,0.01252889
40,0.01360247
41,0.01312802
42,0.01286315
43,0.01330624
44,0.01469416
45,0.02029174
46,0.01340293
47,0.01650318
48,0.02698127
49,0.01272124
50,0.01520599
51,0.01264230
52,0.01399049
53,0.01352249
54,0.02247951
55,0.01341587
56,0.01393947
57,0.02931316
58,0.01339172
59,0.03178204
60,0.01280406
61,0.01497567
62,0.01432204
63,0.01824379
64,0.01826415
65,0.01287755
66,0.02495490
67,0.01276056
68,0.01873856
69,0.01601047
70,0.01366233
71,0.01447880
72,0.01368043
73,0.02407911
74,0.01339367
75,0.01192137
76,0.01403769
77,0.01317570
78,0.01277436
79,0.01656850
80,0.01289804
81,0.01359629
82,0.01248872
83,0.01558982
84,0.01316104
85,0.02222247
86,0.01564852
87,0.01510195
88,0.01528393
89,0.01935678
90,0.01593521
91,0.01317928
92,0.01402289
93,0.01442064
94,0.01448626
95,0.01424435
96,0.01276592
97,0.01294166
98,0.01295670
99,0.01292183
100,0.01874229
101,0.01950054
102,0.01420392
103,0.02040762
104,0.01483073
105,0.01399320
106,0.01845667
107,0.01526363
108,0.01723526
109,0.01898711
110,0.01846675
111,0.01085517
112,0.02078032
113,0.02062682
114,0.01229191
115,0.01371605
116,0.01078592
117,0.01053100
118,0.02235106
119,0.01179989
120,0.01553567
121,0.02104958
122,0.01174181
123,0.02516013
124,0.01123907
125,0.02090803
126,0.01508216
127,0.01127454
128,0.01935279
129,0.01560756
130,0.01141657
131,0.01821083
132,0.01396305
133,0.01196964
134,0.01324849
135,0.02111996
136,0.01762714
137,0.01506696
138,0.02458543
139,0.01992713
140,0.01359517
141,0.01948167
142,0.01869572
143,0.01312109
144,0.01421984
145,0.01272858
146,0.01612814
147,0.01983944
148,0.02218766
149,0.02094692
150,0.01441237
151,0.01128485
152,0.01291668
153,0.01049487
154,0.01236672
155,0.01162346
156,0.02125526
157,0.01505305
158,0.01183457
159,0.01345775
160,0.01576297
161,0.01187236
162,0.02030160
163,0.02116401
164,0.01576297
165,0.01421419
166,0.01376479
167,0.01690639
168,0.02066501
169,0.01074288
170,0.01526195
171,0.02180240
172,0.01514410
173,0.01389747
174,0.01193792
175,0.01327605
176,0.01254148
177,0.01305069
178,0.01145262
179,0.02167362
180,0.01928043
181,0.01298132
182,0.01271296
183,0.01381909
184,0.01310312
185,0.02108865
186,0.01187562
187,0.01461898
188,0.01066227
189,0.01946654
190,0.01832397
191,0.02195460
192,0.02110682
193,0.01928043
194,0.01162704
195,0.02150098
196,0.01514410
197,0.01371102
198,0.01564222
199,0.01517721
200,0.01427937
201,0.01866412
202,0.01175808
203,0.01701634
204,0.01251720
205,0.01961651
206,0.01438777
207,0.01370653
208,0.01884611
209,0.01682444
210,0.01445863
211,0.01253663
212,0.01725562
213,0.01292545
214,0.01247412
215,0.01317909
216,0.01290305
217,0.01232307
218,0.01665465
219,0.01524915
220,0.02000069
221,0.01263856
222,0.01228663
223,0.01448879
224,0.02099761
225,0.01236604
226,0.01333751
227,0.01741830
228,0.01317945
229,0.01227211
230,0.01929160
231,0.01202475
232,0.01396984
233,0.01209944
234,0.01391129
235,0.01480327
236,0.01813564
