sample_idx,chamfer_distance
0,0.00254475
1,0.00255281
2,0.00244976
3,0.00246316
4,0.00249759
5,0.00249326
6,0.00250473
7,0.00246387
8,0.00255331
9,0.00256658
10,0.00249373
11,0.00251132
12,0.00254342
13,0.00256648
14,0.00243349
15,0.00250859
16,0.00268812
17,0.00251616
18,0.00252869
19,0.00254303
20,0.00257152
21,0.00247307
22,0.00246265
23,0.00254489
24,0.00254834
25,0.00256070
26,0.00257026
27,0.00253983
28,0.00247572
29,0.00255165
30,0.00250893
31,0.00257803
32,0.00250925
33,0.00244600
34,0.00253627
35,0.00250662
36,0.00254526
37,0.00250335
38,0.00258105
39,0.00243709
40,0.00260123
41,0.00256704
42,0.00257643
43,0.00252644
44,0.00260166
45,0.00253616
46,0.00259401
47,0.00248205
48,0.00246720
49,0.00248520
50,0.00257350
51,0.00250637
52,0.00257303
53,0.00256444
54,0.00255609
55,0.00252722
56,0.00258446
57,0.00262000
58,0.00240610
59,0.00250572
60,0.00248850
61,0.00254511
62,0.00256453
63,0.00260112
64,0.00253086
65,0.00253122
66,0.00252332
67,0.00259986
68,0.00249504
69,0.00250151
70,0.00247850
71,0.00255717
72,0.00250964
73,0.00254670
74,0.00253195
75,0.00261690
76,0.00249873
77,0.00258112
78,0.00248358
79,0.00253052
80,0.00260640
81,0.00258262
82,0.00259767
83,0.00255341
84,0.00252109
85,0.00252813
86,0.00250104
87,0.00262040
88,0.00259013
89,0.00250522
90,0.00251836
91,0.00252901
92,0.00253969
93,0.00252498
94,0.00255992
95,0.00253069
96,0.00242323
97,0.00255426
98,0.00256434
99,0.00250437
100,0.00257703
101,0.00245429
102,0.00245585
103,0.00239492
104,0.00247992
105,0.00248698
106,0.00253798
107,0.00252449
108,0.00243407
109,0.00248926
110,0.00245193
111,0.00250641
112,0.00248303
113,0.00240110
114,0.00243861
115,0.00239962
116,0.00247117
117,0.00252515
118,0.00255431
119,0.00248340
120,0.00241747
121,0.00243085
122,0.00250059
123,0.00242281
124,0.00250672
125,0.00254542
126,0.00247798
127,0.00245926
128,0.00251463
129,0.00246915
130,0.00252943
131,0.00257585
132,0.00247559
133,0.00251629
134,0.00249906
135,0.00244053
136,0.00243453
137,0.00240946
138,0.00250768
139,0.00252120
140,0.00244283
141,0.00247317
142,0.00243518
143,0.00242474
144,0.00242968
145,0.00250880
146,0.00251715
147,0.00246131
148,0.00249153
149,0.00246966
150,0.00253235
151,0.00240608
152,0.00252263
153,0.00246331
154,0.00247539
155,0.00249399
156,0.00244019
157,0.00243930
158,0.00249331
159,0.00245991
160,0.00247366
161,0.00252315
162,0.00251662
163,0.00250128
164,0.00247366
165,0.00246182
166,0.00246212
167,0.00251243
168,0.00254018
169,0.00245715
170,0.00245745
171,0.00247390
172,0.00247030
173,0.00245878
174,0.00243133
175,0.00249586
176,0.00249077
177,0.00243791
178,0.00240788
179,0.00263245
180,0.00244971
181,0.00249281
182,0.00248446
183,0.00257263
184,0.00244637
185,0.00245250
186,0.00254887
187,0.00252581
188,0.00243822
189,0.00248930
190,0.00245247
191,0.00246086
192,0.00248909
193,0.00244971
194,0.00246213
195,0.00238246
196,0.00247030
197,0.00253184
198,0.00247227
199,0.00243846
200,0.00236902
201,0.00236835
202,0.00238304
203,0.00236244
204,0.00235946
205,0.00236327
206,0.00247132
207,0.00236515
208,0.00233908
209,0.00240397
210,0.00236213
211,0.00250749
212,0.00237759
213,0.00238897
214,0.00241465
215,0.00230109
216,0.00242877
217,0.00226576
218,0.00238882
219,0.00234948
220,0.00244558
221,0.00236561
222,0.00251396
223,0.00234623
224,0.00249196
225,0.00234352
226,0.00247620
227,0.00232665
228,0.00240886
229,0.00239755
230,0.00259635
231,0.00233358
232,0.00242895
233,0.00241868
234,0.00244953
235,0.00238812
236,0.00229007
237,0.00241704
238,0.00252513
239,0.00238055
240,0.00240367
241,0.00231913
242,0.00248488
243,0.00251639
244,0.00247318
245,0.00230588
246,0.00240377
247,0.00249027
248,0.00249470
249,0.00241113
250,0.00237050
251,0.00248613
252,0.00253005
253,0.00238929
254,0.00259219
255,0.00242709
256,0.00244721
257,0.00228880
258,0.00245584
259,0.00244906
260,0.00233665
261,0.00224756
262,0.00237450
263,0.00244557
264,0.00247490
265,0.00230030
266,0.00234196
267,0.00252380
268,0.00242052
269,0.00235876
270,0.00239291
271,0.00239615
272,0.00233226
273,0.00237529
274,0.00238725
275,0.00241965
276,0.00228735
277,0.00247511
278,0.00246720
279,0.00236523
280,0.00237879
281,0.00250225
282,0.00243521
283,0.00237277
284,0.00241632
285,0.00236613
286,0.00235425
287,0.00237122
288,0.00252091
289,0.00245308
290,0.00240802
291,0.00232014
292,0.00223313
293,0.00247475
294,0.00234156
295,0.00237765
296,0.00235146
297,0.00237334
298,0.00232691
299,0.00233949
300,0.00200335
301,0.00196451
302,0.00202176
303,0.00199722
304,0.00198991
305,0.00198136
306,0.00204875
307,0.00202712
308,0.00203022
309,0.00203001
310,0.00197972
311,0.00201707
312,0.00205087
313,0.00200283
314,0.00204562
315,0.00198098
316,0.00204251
317,0.00196577
318,0.00201740
319,0.00200876
320,0.00206115
321,0.00199874
322,0.00206398
323,0.00197663
324,0.00197379
325,0.00209401
326,0.00199097
327,0.00206123
328,0.00206118
329,0.00202030
330,0.00204957
331,0.00203752
332,0.00199990
333,0.00205538
334,0.00202372
335,0.00204318
336,0.00197188
337,0.00195554
338,0.00200310
339,0.00198675
340,0.00203569
341,0.00203071
342,0.00199140
343,0.00207780
344,0.00202815
345,0.00201186
346,0.00200309
347,0.00205259
348,0.00195931
349,0.00199402
350,0.00201221
351,0.00200830
352,0.00206835
353,0.00197079
354,0.00195749
355,0.00205148
356,0.00200955
357,0.00200655
358,0.00200922
359,0.00195229
360,0.00199703
361,0.00203987
362,0.00202342
363,0.00198386
364,0.00197510
365,0.00196125
366,0.00203262
367,0.00206583
368,0.00194862
369,0.00205430
370,0.00204210
371,0.00201961
372,0.00201099
373,0.00203589
374,0.00202339
375,0.00195361
376,0.00195258
377,0.00206677
378,0.00200686
379,0.00195440
380,0.00202344
381,0.00204963
382,0.00190375
383,0.00200568
384,0.00207270
385,0.00188105
386,0.00205664
387,0.00201696
388,0.00205553
389,0.00193179
390,0.00204875
391,0.00204178
392,0.00201140
393,0.00205066
394,0.00203151
395,0.00202990
396,0.00193132
397,0.00205721
398,0.00201730
399,0.00204713
400,0.00310732
401,0.00312666
402,0.00300732
403,0.00302143
404,0.00306685
405,0.00306925
406,0.00317533
407,0.00306732
408,0.00309685
409,0.00307608
410,0.00307420
411,0.00319292
412,0.00307487
413,0.00298673
414,0.00314614
415,0.00305077
416,0.00301584
417,0.00297991
418,0.00310069
419,0.00323386
420,0.00308001
421,0.00314499
422,0.00307164
423,0.00311620
424,0.00305346
425,0.00302997
426,0.00312060
427,0.00309125
428,0.00317860
429,0.00295243
430,0.00322512
431,0.00315881
432,0.00307244
433,0.00322930
434,0.00308765
435,0.00300539
436,0.00299393
437,0.00308137
438,0.00304183
439,0.00306509
440,0.00321558
441,0.00307216
442,0.00299243
443,0.00310003
444,0.00304146
445,0.00311318
446,0.00305829
447,0.00310477
448,0.00308727
449,0.00307293
450,0.00305715
451,0.00299253
452,0.00304709
453,0.00321680
454,0.00320615
455,0.00312260
456,0.00305034
457,0.00308282
458,0.00304987
459,0.00308514
460,0.00312898
461,0.00323369
462,0.00309032
463,0.00315907
464,0.00308533
465,0.00317093
466,0.00306160
467,0.00300239
468,0.00304945
469,0.00309923
470,0.00309649
471,0.00320273
472,0.00305315
473,0.00316997
474,0.00307222
475,0.00314353
476,0.00312923
477,0.00310421
478,0.00306078
479,0.00305829
480,0.00314894
481,0.00301052
482,0.00304724
483,0.00314805
484,0.00308393
485,0.00309757
486,0.00318811
487,0.00306891
488,0.00317164
489,0.00308339
490,0.00310990
491,0.00308526
492,0.00314214
493,0.00308248
494,0.00305098
495,0.00312499
496,0.00323781
497,0.00309317
498,0.00307648
499,0.00309015
500,0.00169804
501,0.00174767
502,0.00166112
503,0.00171303
504,0.00171931
505,0.00177048
506,0.00167178
507,0.00175510
508,0.00182226
509,0.00175997
510,0.00174802
511,0.00171747
512,0.00175097
513,0.00171554
514,0.00180750
515,0.00171185
516,0.00177048
517,0.00178553
518,0.00171856
519,0.00172122
520,0.00171324
521,0.00178769
522,0.00166685
523,0.00172147
524,0.00174158
525,0.00171682
526,0.00170886
527,0.00174519
528,0.00171393
529,0.00171189
530,0.00173408
531,0.00171679
532,0.00178553
533,0.00163941
534,0.00172250
535,0.00171064
536,0.00171977
537,0.00173662
538,0.00173650
539,0.00172893
540,0.00167505
541,0.00168540
542,0.00169786
543,0.00166076
544,0.00167065
545,0.00168930
546,0.00173835
547,0.00168669
548,0.00170174
549,0.00167140
550,0.00175822
551,0.00165714
552,0.00171590
553,0.00172787
554,0.00165978
555,0.00174043
556,0.00171013
557,0.00175590
558,0.00170797
559,0.00174426
560,0.00167604
561,0.00169866
562,0.00177788
563,0.00171115
564,0.00165947
565,0.00165806
566,0.00178395
567,0.00171691
568,0.00172539
569,0.00167457
570,0.00176119
571,0.00172139
572,0.00168962
573,0.00173263
574,0.00170197
575,0.00171819
576,0.00170677
577,0.00169959
578,0.00180453
579,0.00171887
580,0.00168833
581,0.00177812
582,0.00170555
583,0.00174625
584,0.00175963
585,0.00170218
586,0.00174452
587,0.00170697
588,0.00175317
589,0.00173498
590,0.00166139
591,0.00173703
592,0.00167919
593,0.00174151
594,0.00171184
595,0.00176209
596,0.00166804
597,0.00172003
598,0.00167705
599,0.00172899
600,0.00603894
601,0.00634184
602,0.00650024
603,0.00648104
604,0.00614986
605,0.00616509
606,0.00669426
607,0.00600030
608,0.00621876
609,0.00618343
610,0.00617959
611,0.00648461
612,0.00614589
613,0.00632720
614,0.00623291
615,0.00637038
616,0.00620757
617,0.00649834
618,0.00677187
619,0.00640381
620,0.00620166
621,0.00617230
622,0.00619335
623,0.00618326
624,0.00609794
625,0.00617672
626,0.00638466
627,0.00641128
628,0.00600862
629,0.00628183
630,0.00630669
631,0.00669628
632,0.00613727
633,0.00633868
634,0.00632798
635,0.00610433
636,0.00614546
637,0.00629333
638,0.00628729
639,0.00629922
640,0.00581891
641,0.00627731
642,0.00635235
643,0.00613299
644,0.00612991
645,0.00631183
646,0.00632979
647,0.00625496
648,0.00626499
649,0.00677187
650,0.00626755
651,0.00622229
652,0.00622547
653,0.00639335
654,0.00638793
655,0.00634211
656,0.00592229
657,0.00628302
658,0.00642588
659,0.00624960
660,0.00628352
661,0.00617578
662,0.00603013
663,0.00632981
664,0.00604947
665,0.00631155
666,0.00596975
667,0.00601425
668,0.00619845
669,0.00637391
670,0.00621788
671,0.00639872
672,0.00632847
673,0.00616485
674,0.00637105
675,0.00632712
676,0.00661278
677,0.00641907
678,0.00628930
679,0.00657394
680,0.00659478
681,0.00625235
682,0.00622523
683,0.00659368
684,0.00639592
685,0.00620652
686,0.00613415
687,0.00634353
688,0.00628725
689,0.00615442
690,0.00615246
691,0.00618598
692,0.00620922
693,0.00643203
694,0.00620759
695,0.00625292
696,0.00645981
697,0.00621898
698,0.00619886
699,0.00621945
700,0.00835222
701,0.00854852
702,0.00804493
703,0.00841000
704,0.00878133
705,0.00816268
706,0.00811847
707,0.00857515
708,0.00852484
709,0.00868702
710,0.00865295
711,0.00829901
712,0.00877170
713,0.00802804
714,0.00872211
715,0.00870953
716,0.00828273
717,0.00846953
718,0.00874428
719,0.00895704
720,0.00838662
721,0.00835384
722,0.00868129
723,0.00766487
724,0.00834815
725,0.00844266
726,0.00860336
727,0.00850742
728,0.00830932
729,0.00931690
730,0.00823591
731,0.00790021
732,0.00824364
733,0.00889168
734,0.00852598
735,0.00812213
736,0.00846823
737,0.00835248
738,0.00873750
739,0.00848209
740,0.00856971
741,0.00851573
742,0.00818736
743,0.00839187
744,0.00835049
745,0.00856221
746,0.00824821
747,0.00900250
748,0.00876679
749,0.00790942
750,0.00822247
751,0.00836094
752,0.00831022
753,0.00903607
754,0.00835790
755,0.00857046
756,0.00817867
757,0.00883631
758,0.00785672
759,0.00858417
760,0.00898801
761,0.00848150
762,0.00776700
763,0.00869219
764,0.00862000
765,0.00814418
766,0.00871613
767,0.00796670
768,0.00795151
769,0.00789981
770,0.00856147
771,0.00819221
772,0.00856231
773,0.00823966
774,0.00798621
775,0.00821013
776,0.00838224
777,0.00823165
778,0.00846018
779,0.00833655
780,0.00787084
781,0.00848874
782,0.00835528
783,0.00826702
784,0.00847666
785,0.00898801
786,0.00877121
787,0.00850760
788,0.00823430
789,0.00825073
790,0.00898756
791,0.00921686
792,0.00786985
793,0.00785418
794,0.00813938
795,0.00838082
796,0.00843060
797,0.00849842
798,0.00861911
799,0.00879712
800,0.00250406
801,0.00253039
802,0.00255178
803,0.00251608
804,0.00253344
805,0.00260082
806,0.00246749
807,0.00253166
808,0.00247074
809,0.00252533
810,0.00256066
811,0.00246057
812,0.00255011
813,0.00249272
814,0.00251271
815,0.00249195
816,0.00254709
817,0.00249680
818,0.00250908
819,0.00248407
820,0.00249608
821,0.00255941
822,0.00254057
823,0.00254681
824,0.00255137
825,0.00251337
826,0.00256611
827,0.00246884
828,0.00255779
829,0.00255349
830,0.00254726
831,0.00257246
832,0.00256389
833,0.00255162
834,0.00252229
835,0.00252373
836,0.00263894
837,0.00253831
838,0.00253579
839,0.00258118
840,0.00254349
841,0.00255348
842,0.00254932
843,0.00263332
844,0.00251511
845,0.00259356
846,0.00256738
847,0.00259777
848,0.00251601
849,0.00248411
850,0.00250387
851,0.00252121
852,0.00252499
853,0.00255947
854,0.00255348
855,0.00253271
856,0.00246098
857,0.00258630
858,0.00245709
859,0.00257127
860,0.00252302
861,0.00254108
862,0.00252537
863,0.00246839
864,0.00254069
865,0.00246852
866,0.00245783
867,0.00252679
868,0.00258045
869,0.00252848
870,0.00260098
871,0.00246859
872,0.00262375
873,0.00246009
874,0.00255843
875,0.00251745
876,0.00246912
877,0.00254897
878,0.00253115
879,0.00259225
880,0.00251056
881,0.00254653
882,0.00258136
883,0.00255061
884,0.00248755
885,0.00256109
886,0.00256547
887,0.00249054
888,0.00252923
889,0.00254711
890,0.00256316
891,0.00250125
892,0.00244101
893,0.00256342
894,0.00259870
895,0.00259946
896,0.00255589
897,0.00247615
898,0.00254271
899,0.00257597
900,0.01550229
901,0.01574517
902,0.01569087
903,0.01529381
904,0.01534384
905,0.01497975
906,0.01599382
907,0.01594896
908,0.01487992
909,0.01435612
910,0.01572598
911,0.01524366
912,0.01555352
913,0.01575893
914,0.01557622
915,0.01549548
916,0.01503153
917,0.01574642
918,0.01601531
919,0.01557326
920,0.01510696
921,0.01477193
922,0.01557188
923,0.01535125
924,0.01613900
925,0.01579890
926,0.01459590
927,0.01479317
928,0.01599235
929,0.01584249
930,0.01525301
931,0.01490348
932,0.01566269
933,0.01606118
934,0.01618355
935,0.01570269
936,0.01615128
937,0.01442478
938,0.01487348
939,0.01540590
940,0.01621963
941,0.01613146
942,0.01560298
943,0.01610513
944,0.01547268
945,0.01608973
946,0.01490348
947,0.01535125
948,0.01608807
949,0.01522326
950,0.01512068
951,0.01610551
952,0.01557118
953,0.01506321
954,0.01593333
955,0.01601944
956,0.01579407
957,0.01439408
958,0.01466454
959,0.01550856
960,0.01567950
961,0.01539710
962,0.01436999
963,0.01617111
964,0.01633575
965,0.01518836
966,0.01595515
967,0.01497902
968,0.01499540
969,0.01523793
970,0.01581838
971,0.01541756
972,0.01553425
973,0.01455496
974,0.01539233
975,0.01602474
976,0.01619277
977,0.01566828
978,0.01517416
979,0.01600100
980,0.01428358
981,0.01536377
982,0.01431619
983,0.01520097
984,0.01571352
985,0.01623281
986,0.01535964
987,0.01633898
988,0.01530057
989,0.01623127
990,0.01518869
991,0.01559243
992,0.01498727
993,0.01558590
994,0.01485743
995,0.01615219
996,0.01604867
997,0.01654408
998,0.01609931
999,0.01456054
1000,0.00299532
1001,0.00294181
1002,0.00283294
1003,0.00284568
1004,0.00288277
1005,0.00291924
1006,0.00289527
1007,0.00295374
1008,0.00281183
1009,0.00289341
1010,0.00283414
1011,0.00287011
1012,0.00294555
1013,0.00291971
1014,0.00287693
1015,0.00287413
1016,0.00290730
1017,0.00288839
1018,0.00293016
1019,0.00293953
1020,0.00290330
1021,0.00294900
1022,0.00285796
1023,0.00307854
1024,0.00301667
1025,0.00290902
1026,0.00304716
1027,0.00300169
1028,0.00285256
1029,0.00282840
1030,0.00295415
1031,0.00288870
1032,0.00291772
1033,0.00276147
1034,0.00294132
1035,0.00291676
1036,0.00295536
1037,0.00297446
1038,0.00297499
1039,0.00295428
1040,0.00297080
1041,0.00298641
1042,0.00293582
1043,0.00289539
1044,0.00293654
1045,0.00285453
1046,0.00288702
1047,0.00292777
1048,0.00279346
1049,0.00292536
1050,0.00285368
1051,0.00278969
1052,0.00290405
1053,0.00283828
1054,0.00283931
1055,0.00291811
1056,0.00298804
1057,0.00304843
1058,0.00291335
1059,0.00299099
1060,0.00290721
1061,0.00283686
1062,0.00293870
1063,0.00289233
1064,0.00295674
1065,0.00300452
1066,0.00296291
1067,0.00290938
1068,0.00298566
1069,0.00295360
1070,0.00295422
1071,0.00287306
1072,0.00285232
1073,0.00288641
1074,0.00292117
1075,0.00293798
1076,0.00276724
1077,0.00301119
1078,0.00281222
1079,0.00283435
1080,0.00290249
1081,0.00285493
1082,0.00295143
1083,0.00298407
1084,0.00291754
1085,0.00296156
1086,0.00292486
1087,0.00295427
1088,0.00295261
1089,0.00292271
1090,0.00292913
1091,0.00289903
1092,0.00287880
1093,0.00286821
1094,0.00292619
1095,0.00300601
1096,0.00289067
1097,0.00287767
1098,0.00277299
1099,0.00302222
1100,0.00367509
1101,0.00354636
1102,0.00382714
1103,0.00378096
1104,0.00388060
1105,0.00386538
1106,0.00412671
1107,0.00373080
1108,0.00397976
1109,0.00405770
1110,0.00408361
1111,0.00396196
1112,0.00395152
1113,0.00360313
1114,0.00389532
1115,0.00382911
1116,0.00389214
1117,0.00393080
1118,0.00410939
1119,0.00376462
1120,0.00403488
1121,0.00393756
1122,0.00380741
1123,0.00379082
1124,0.00387928
1125,0.00375620
1126,0.00385575
